title,year,genre,plot
Nefarious,2022,"Crime, Thriller","A fast moving, funny and ultimately tragic European road movie about two hedonistic outlaws and their quest to open up a coffeeshop in Amsterdam."
Hellraiser,2022,"Horror, Mystery, Thriller","A take on Clive Barker's 1987 horror classic where a young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites."
Milli Vanilli,2022,"Comedy, Drama",The story of one producer and two lip-syncing male models who would sell millions of records and win a Grammy before their scam was revealed.
Sirens,2022,Documentary,"Lilas and Shery, co-founders and guitarists of the Middle East's first all-female metal band, wrestle with friendship, sexuality and destruction in their pursuit of becoming thrash metal rock stars."
Bloody September,2022,Horror,"Theater and film actor, Mykola Veresen' dies on the set while performing the role of Ivan the Terrible. In the moment of death, his karma transforms into the bloody murderer he embodied, and he falls into Sheol, a common grave for all the dead. The time has a different flow here, the only feelings left are fear and pain. In hell Mykola learns about the confrontation that last for centuries between the white and black vampires, he becomes a puppet in the cruel guerrilla of these two supernatural groups."
Laal Singh Chaddha,2022,"Comedy, Drama, Romance","Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh."
MobSense,2022,Comedy,
Adventures in Game Chasing,2022,Comedy,"Billy and Jay, friends since kids and now beat down with life, go on an adventure to track down Billy's original NES gaming system in order to play it one more time."
The Christmas Spirit,2022,"Comedy, Thriller",A lone man with the Christmas Spirit trapped in his head must kidnap a teenage girl in order to save Christmas.
Darkling,2022,"Drama, Horror","Letter from a girl from Kosovo, dedicated to her missing father, read at the United Nations, in which she publicly addresses the difficult life of Serbs, especially Serb children in the enclaves."
Charlie Hustle,2022,Drama,"A prodigal son, on the run with the woman he loves, turns to a life of crime as an enforcer for a notorious loan shark, his father."
The Reunion,2022,Drama,Ricky Reilly is on a spiritual journey when he runs into his childhood nemesis and is then challenged by his best friend to confront the nemesis at their high school reunion.
Washington's Armor Volume 1 - The Journey,2022,History,Follows the trajectory of George Washington as a boy and a young man as he develops his relationships and ideals.
Gangubai Kathiawadi,2022,"Biography, Crime, Drama","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in."
Pastor's Wife,2022,Drama,"Monique has always struggled in her role as a pastor's wife. Her husband, Martin, is extremely committed to the church and serving his congregants often to the detriment of his family. When her feelings of insecurity and neglect reach a climax, Monique responds in a manner that will change the course of life as she knows it."
Satria Dewa: Gatotkaca,2022,"Action, Adventure, Drama, Fantasy, Sci-Fi","Legends collide as young Yuda wrestles with his newfound godlike powers, defending his world in an endless battle against ancient and powerful evils."
Elvis,2022,"Biography, Drama, Music","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker."
Así era,2022,Documentary,
Shut In,2022,Thriller,"When a young mother is barricaded inside a pantry by her violent ex-boyfriend, she must use ingenuity to protect her two small children from escalating danger while finding an escape."
Fate of the Night,2022,"Drama, Horror, Thriller","After witnessing the horrific death of a young woman, the Harris family must face the psychological consequences of leaving her to die."
Ojai,2022,"Drama, Sci-Fi","Ricky and his cancer-stricken mother move to the seemingly innocuous town of Ojai in pursuit of a vague yet promising experimental treatment. As Ricky tries to adjust to his new life, he becomes increasingly skeptical of the town's innocence and concerned for his mom's well-being."
The Four Fathers,2022,Drama,The lives of four fathers find themselves intertwining in a series of events that leads them all to a path of certain redemption.
Vie Feroce,2022,Drama,"Set in the underbelly of Montreal during the early '90s, a street smart teenage girl and her mother must find a way to survive when their world slowly begins to collapse around them."
Sneakerella,2022,"Comedy, Family, Musical",A modern twist on Cinderella set in New York City's Sneaker culture.
Im Westen nichts Neues,2022,"Action, Drama, War",A young German soldier's terrifying experiences and distress on the western front during World War I.
Hello Jindagi,2022,Drama,
Gap Weekend,2022,"Comedy, Romance","A heartbroken guy befriends an offbeat girl after posting his dating manifesto online. As the two spend a weekend together in a pretend relationship, a connection grows that may both heal and complicate aspects of their real lives."
Causeway,2022,Drama,A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.
Nothing Compares,2022,"Documentary, Music",Following the career of singer Sinéad O'Connor through her rise to fame and how her iconoclastic personality led to her exile from the pop mainstream.
Bullet Proof,2022,Action,"After stealing millions in cash from the drug hiding place of the sadistic mafia boss Temple, a thief finds a stowaway passenger in his getaway car."
"Bernice, Too",2022,Comedy,Two men. One wheelchair. And a day in their lives - The world is a wonderful and strange place. Let's spend some time in theirs. The newest film from Elmwood Productions. Starring a cast of puppets. Nothing too deep. But just deep enough.
